cle,defaut_registre,statut_lecture,phase_prouvee,unites_compilation_lectrices,references_source
GENESIS_RESERVE_GOLD,200,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1815
GENESIS_RESERVE_COPPER,500,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1816
INVARIANT_DRIFT_FRAC,3.7,telemetrie chronicle uniquement,non certifiee individuellement,,scps\chronicle.c:635; scps\chronicle.c:1686
POP_R_BASE,0.0198,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5398; scps\scps_econ.c:6005
POP_PROSP_MID,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5399
POP_PROSP_SPAN,1.7999999,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5400
POP_PROSP_W,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5401
POP_NEEDS_W,0.85000002,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5402
POP_SAT_W,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:152; scps\scps_econ.c:5406; scps\scps_econ.c:5406
NEEDS_MET_TAU,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5091
HAB_MALUS_K,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:73; scps\scps_econ.c:4260; scps\scps_econ.c:4260; scps\scps_econ.c:5436; scps\scps_econ.c:5436
VETUSTE_RATE,0.02,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c,scps\scps_agency.c:748; scps\scps_doctrines.c:105
VETUSTE_FLOOR,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c,scps\scps_agency.c:751; scps\scps_doctrines.c:105
RENOV_COST_FRAC,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c,scps\scps_agency.c:790
RENOV_AI_TRIG,0.69999999,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1498
RENOV_SHARE_LAB,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c,scps\scps_agency.c:811
PROVMOD_ABOND_REF,0.44999999,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.h:812
PROVMOD_ABOND_K,2,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.h:820
PROVMOD_FERVEUR_K,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_doctrines.c:160; scps\scps_econ.h:827; scps\scps_econ.h:827
PROVMOD_FERVEUR_DECAY,0.067000002,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:160; scps\scps_econ.c:5417; scps\scps_econ.c:5417
PROVMOD_RECON_K,0.60000002,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.h:834
PROVMOD_RECON_DECAY,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5418
PROVMOD_LIMON_K,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.h:840
PROVMOD_GIBIER_K,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.h:845
PROVMOD_HALIEU_K,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.h:850
PROVMOD_ADMIN_K,0.059999999,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.h:856
ENTROPY_FIN,55,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c; scps\scps_events.c; scps\scps_readout.c,scps\endgame_demo.c:112; scps\endgame_demo.c:153; scps\endgame_demo.c:594; scps\endgame_demo.c:717; scps\endgame_demo.c:741; scps\scps_endgame.c:1363; scps\scps_endgame.c:1390; scps\scps_endgame.c:1492; scps\scps_endgame.c:1655; scps\scps_events.c:4063; scps\scps_readout.c:460
ENDGAME_YEAR_OPEN,180,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1385; scps\scps_endgame.c:1420
ENTROPY_TECH_W,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\endgame_demo.c:111; scps\scps_endgame.c:117
COLD_RAMP_PER_YEAR,0.0049999999,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:484
THORN_CELLS_PER_YEAR,200,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:817
THORN_RANDOM_FRAC,0.34999999,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:818
MERV_PHASE_DAYS,3650,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1191
MERV_CHARGE_PER_TICK,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1196
ENTROPY_BREACH_W,0.60000002,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:119
ENTROPY_BLOOD_W,8,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:145
ENDGAME_BLOOD_FRAC,0.090000004,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_endgame.c,scps\chronicle.c:1988; scps\endgame_demo.c:591; scps\endgame_demo.c:710; scps\endgame_demo.c:738; scps\scps_api.c:1282; scps\scps_endgame.c:1365; scps\scps_endgame.c:1391; scps\scps_endgame.c:1462; scps\scps_endgame.c:1588
SANG_MEMORY_HL,40,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\chronicle.c:1986; scps\scps_endgame.c:131
BLOOD_PLAYER_SHARE,0.25,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\endgame_demo.c:711; scps\scps_endgame.c:1464; scps\scps_endgame.c:1590
FIN_BASE_EAU,1.5,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\endgame_demo.c:150; scps\scps_endgame.c:1311
FIN_BASE_RONCES,1,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\endgame_demo.c:151; scps\scps_endgame.c:1313
FIN_BASE_FROID,1,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\endgame_demo.c:152; scps\scps_endgame.c:1315
FIN_PROD_W_ESSENCE,1,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1312
FIN_PROD_W_FLUX,1,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1314
FIN_PROD_W_FER,1,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1316
EXODUS_INTENSITY_MIN,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:767
EXODUS_FRAC_PER_YEAR,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:768
FUEL_FALLBACK_DELAY,60,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\chronicle.c:1998; scps\scps_endgame.c:1528
FUEL_FALLBACK_MIN,2,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\chronicle.c:1995; scps\scps_endgame.c:1366; scps\scps_endgame.c:1392; scps\scps_endgame.c:1530; scps\scps_endgame.c:1657
FUEL_COAL_W,3,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\chronicle.c:1997; scps\scps_endgame.c:172
FUEL_MEMORY_HL,60,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\chronicle.c:1997; scps\scps_endgame.c:170
HEAT_RAMP_PER_YEAR,0.0099999998,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:521
HEAT_DROUGHT,0.60000002,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:535
SEA_RISE_CELLS_PER_YEAR,140,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:548
CALM_DISASTER_YEAR,200,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\chronicle.c:3202; scps\scps_events.c:4062
CALM_DISASTER_ENTFRAC,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:4063
CALM_DISASTER_MULT,2.5,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:4064
METAB_MERV_RATIO,0.60000002,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1017; scps\scps_endgame.c:1115
METAB_MERV_MIN,500,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1026
FINS_RACE,1,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1016; scps\scps_endgame.c:1114; scps\scps_endgame.c:1452
RACE_ENTROPY_FIN,25,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1492
RACE_FUEL_FALLBACK_MIN,7,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1530
RACE_METAB_MERV_RATIO,0.25,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1016; scps\scps_endgame.c:1114
FAUSTIEN_BOOST,1,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.c:1834; scps\scps_econ.c:4016; scps\scps_econ.h:868; scps\scps_endgame.c:1026; scps\scps_endgame.c:1458
FAUST_ARCANE_DIV,2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1835
FAUST_CELESTIAL_DIV,4,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1836
FAUST_YIELD_MULT,2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:132; scps\scps_econ.c:4478; scps\scps_econ.c:4478; scps\scps_econ.c:4539; scps\scps_econ.c:4539
ENTROPY_PER_USE,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4587
FAUST_FOREUSE_PRECIOUS_MULT,5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4540
FAUST_CORNE_ALCOHOL_QTY,2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4566
FAUST_MUTATION_K,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_doctrines.c:131; scps\scps_econ.h:875; scps\scps_econ.h:875
FAUST_METAB_MERV_MIN,400,lecture moteur presente,non certifiee individuellement,scps\scps_endgame.c,scps\scps_endgame.c:1026
W_AGITATION_UNREST,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_doctrines.c:151; scps\scps_revolt.c:553; scps\scps_revolt.c:554
AI_REBEL_BACKING_OPINION,1.6,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:746
AI_REBEL_BACKING_ATWAR_W,0.34999999,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:717
AI_REBEL_BACKING_MAXWARS,1,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:745
AI_REBEL_MATERIEL_FRAC,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:778
REBEL_VET_ADD,2,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:667
SLAVE_REVOLT_SHARE,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:348; scps\scps_revolt.c:540
SLAVE_REVOLT_W,1.2000001,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:349; scps\scps_revolt.c:542
SLAVE_POOL_REF,600,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_intertrade.c,scps\scps_api.c:4071; scps\scps_intertrade.c:800
SLAVE_AI_KEEP_FRAC,0.02,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:3117
SLAVE_AI_SELL_FRAC,0.25,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:3119
SLAVE_AI_BUY_FRAC,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:3058
FAB_CB_COST_YEARS,2,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:695; scps\scps_doctrines.c:35
FAB_MATURE_DAYS,365,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_diplo.c,scps\scps_api.c:2715; scps\scps_diplo.c:750; scps\scps_doctrines.c:35
FAB_VALID_DAYS,1825,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c; scps\scps_missions.c,scps\scps_diplo.c:785; scps\scps_missions.c:488
COUNCIL_HIRE_LEVER,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:264
COUNCIL_DISMISS_GRIEF,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_doctrines.c:136; scps\scps_statecraft.c:276; scps\scps_statecraft.c:276; scps\statecraft_demo.c:619; scps\statecraft_demo.c:621
COUNCIL_LOYAL_RATE,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:426
COUNCIL_ROT_BOOST,1.5,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_doctrines.c:147; scps\scps_statecraft.c:427
COUNCIL_PAY_ADJ,30,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_doctrines.c:136; scps\scps_statecraft.c:405; scps\scps_statecraft.c:405
COUNCIL_BETRAYAL_THRESHOLD,15,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:391
ARMS_PER_LABORER,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:31; scps\scps_econ.c:4222; scps\scps_econ.c:4223
ARSENAL_DECAY,0.99000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:31; scps\scps_econ.c:5688; scps\scps_econ.c:5688
TIER2_POP,2000,lecture moteur presente,"premier appel, cache statique",scps\scps_labor.c,scps\scps_labor.c:34
TIER3_POP,3000,lecture moteur presente,"premier appel, cache statique",scps\scps_labor.c,scps\scps_labor.c:35
TIER4_POP,4000,lecture moteur presente,"premier appel, cache statique",scps\scps_labor.c,scps\scps_labor.c:36
TIER5_POP,5000,lecture moteur presente,"premier appel, cache statique",scps\scps_labor.c,scps\scps_labor.c:37
TIER6_POP,8000,lecture moteur presente,"premier appel, cache statique",scps\scps_labor.c,scps\scps_labor.c:38
TIER7_POP,10000,lecture moteur presente,"premier appel, cache statique",scps\scps_labor.c,scps\scps_labor.c:39
SPAWN_KIT_WOOD,250,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2163
SPAWN_KIT_FOOD,2000,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2164
SPAWN_KIT_CLAY,20,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2165
SPAWN_KIT_IRON,20,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2166
SPAWN_KIT_STONE,20,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2167
SPAWN_KIT_TOOLS,20,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2168
SPAWN_KIT_ARMS,100,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2169
SPAWN_KIT_RANGED,100,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2170
SPAWN_KIT_BEER,20,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2171
TRAD_REND_W,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2912
TRAD_INFL_W,10,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:544
TRAD_CAP_W,0.30000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5375
TRAD_PERM_W,3,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1274
TRAD_ARCANE_W,0.25,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2442
TRAD_DERIVE_W,1,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_demography.c,scps\scps_api.c:1395; scps\scps_demography.c:971
TRAD_FRACT_W,0.059999999,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:564
COUNCIL_SAVOIR_BASE,0.12,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2081; scps\scps_statecraft.c:90
COUNCIL_ROYAUME_BASE,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2082; scps\scps_statecraft.c:91
COUNCIL_OUVRAGES_BASE,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2083; scps\scps_statecraft.c:92
COUNCIL_TIER2_MULT,1.5,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2089; scps\scps_statecraft.c:98
COUNCIL_TIER3_MULT,2,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2090; scps\scps_statecraft.c:99
COUNCIL_TIER1_REVENUE_RATE,0.015,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2097; scps\scps_statecraft.c:108
COUNCIL_TIER2_REVENUE_RATE,0.029999999,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2098; scps\scps_statecraft.c:109
COUNCIL_TIER3_REVENUE_RATE,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2099; scps\scps_statecraft.c:110
COUNCIL_EFF_BASE,0.69999999,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2104; scps\scps_api.c:2114; scps\scps_statecraft.c:378; scps\statecraft_demo.c:573
COUNCIL_EFF_K_PER,0.029999999,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2105; scps\scps_api.c:2115; scps\scps_statecraft.c:379; scps\statecraft_demo.c:573
COUNCIL_EFF_LOY_W,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2106; scps\scps_api.c:2116; scps\scps_statecraft.c:380; scps\statecraft_demo.c:574
COUNCIL_EFF_CORRUPTION_PER_POINT,0.0035000001,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2107; scps\scps_api.c:2117; scps\scps_statecraft.c:381; scps\statecraft_demo.c:574
COUNCIL_EFF_MIN,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2108; scps\scps_api.c:2119; scps\scps_statecraft.c:382; scps\statecraft_demo.c:575; scps\statecraft_demo.c:575; scps\statecraft_demo.c:600
COUNCIL_EFF_MAX,1.15,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2108; scps\scps_api.c:2120; scps\scps_statecraft.c:382; scps\statecraft_demo.c:576; scps\statecraft_demo.c:576; scps\statecraft_demo.c:585
DESSEIN_SOL_HEGEMON_FRAC,0.40000001,lecture moteur presente,non certifiee individuellement,scps\scps_missions.c,scps\scps_missions.c:463
